Date,Open,High,Low,Close,Volume
2024-01-02,116.89,116.89,114.25,115.34,3009286
2024-01-03,113.81,117.76,113.02,117.69,2843922
2024-01-04,117.48,119.19,116.4,118.32,2199375
2024-01-05,118.03,119.75,117.02,118.15,2442011
2024-01-08,115.3,118.295,114.83,117.9,2580260
2024-01-09,116.27,116.93,115.5,116.2,2373772
2024-01-10,116.38,116.75,114.54,115.79,1984481
2024-01-11,117.07,117.6427,115.97,117.32,1632775
2024-01-12,116.18,116.5,108.96,109.11,6457683
2024-01-16,104.65,105.78,102.76,104.5,6127667
2024-01-17,99.26,102.23,98.98,102.2,4605545
2024-01-18,103.3,104.51,101.63,103.64,3913786
2024-01-19,101.4,104.01,100.1,102.65,4817193
2024-01-22,98.03,100.42,97.51,99.72,5070234
2024-01-23,103.47,107.83,103.4,107.19,6238973
2024-01-24,110.79,111.385,108.7101,110.62,4918803
2024-01-25,109.795,109.85,106.82,108.61,2961268
2024-01-26,106.92,108.46,106.68,107.66,2153285
2024-01-29,108.4,108.43,105.86,107.76,2330292
2024-01-30,104.71,106.17,103.75,105.29,2428427
2024-01-31,103.585,107.61,103.32,105.31,2001888
2024-02-01,106.32,107.52,104.9,104.98,1963199
2024-02-02,103.68,103.73,102.161,102.79,2395056
2024-02-05,102.73,104.285,102.05,103.61,2070509
2024-02-06,107.2,108.3399,105.14,107.56,3693932
2024-02-07,104.75,106.33,104.16,105.3,3053419
2024-02-08,104.62,104.9,102.87,103.17,1906891
2024-02-09,103.56,105.78,102.89,105.69,1875879
2024-02-12,106.47,109.08,106.4,106.71,1750450
2024-02-13,104.93,106.0,103.29,103.81,1631938
2024-02-14,105.62,107.07,105.01,106.71,2367162
2024-02-15,106.135,107.02,105.55,106.84,1427911
2024-02-16,108.8,109.66,107.06,107.12,1957592
2024-02-20,106.35,106.5,104.5,105.54,1978774
2024-02-21,107.1,108.7,106.58,107.22,3276782
2024-02-22,108.45,111.875,106.85,110.59,5588303
2024-02-23,112.02,112.79,110.03,111.36,3841989
2024-02-26,110.78,111.48,110.05,110.59,2857969
2024-02-27,112.07,114.11,111.41,112.36,6067679
2024-02-28,107.85,108.09,103.25,103.31,11392222
2024-02-29,103.07,104.0,100.85,101.33,7489298
2024-03-01,102.5,104.75,102.5,104.02,3765150
2024-03-04,103.0,103.05,100.36,100.72,4629326
2024-03-05,98.61,100.3,98.16,98.25,3789798
2024-03-06,100.05,100.89,99.1383,99.38,3788516
2024-03-07,98.78,98.88,96.58,97.81,3646397
2024-03-08,98.21,99.77,97.99,98.27,2326167
2024-03-11,100.3,102.51,100.07,101.29,3297718
2024-03-12,103.24,105.55,102.6,105.27,4533227
2024-03-13,108.0,111.02,107.81,107.89,4797381
2024-03-14,106.12,106.27,103.82,104.64,2693003
2024-03-15,103.94,104.95,103.62,103.86,1970267
2024-03-18,104.15,105.33,103.91,104.77,1672963
2024-03-19,104.0,104.27,102.71,104.17,1541828
2024-03-20,104.72,105.31,102.77,103.89,2428245
2024-03-21,103.58,103.7,101.65,101.7,2564166
2024-03-22,105.68,105.7,101.33,102.18,6097970
2024-03-25,104.325,105.99,102.01,105.66,6544834
2024-03-26,104.57,106.58,103.601,103.66,4040381
2024-03-27,102.69,105.0,102.53,104.99,3087543
