Date,Open,High,Low,Close,Volume
2024-01-02,14873.7,14887.8,14682.38,14765.94,3908023248
2024-01-03,14641.47,14694.58,14577.44,14592.21,4052545787
2024-01-04,14532.23,14632.77,14504.78,14510.3,4058997994
2024-01-05,14500.11,14625.19,14477.57,14524.07,3783079995
2024-01-08,14564.47,14846.9,14560.2,14843.77,4225526887
2024-01-09,14744.13,14894.32,14716.71,14857.71,3776207563
2024-01-10,14877.7,14998.2,14842.7,14969.65,3606437151
2024-01-11,15020.95,15063.61,14800.38,14970.18,4209681319
2024-01-12,15001.01,15047.25,14931.88,14972.76,4320413848
2024-01-16,14908.26,15004.35,14863.81,14944.35,4610717873
2024-01-17,14814.77,14865.76,14706.23,14855.62,4326381072
2024-01-18,14994.52,15066.81,14911.11,15055.65,4893823244
2024-01-19,15122.38,15310.97,15087.2,15310.97,4829844846
2024-01-22,15393.05,15438.85,15333.63,15360.29,4737542389
2024-01-23,15391.41,15432.35,15337.23,15425.94,4645102428
2024-01-24,15560.61,15629.07,15468.91,15481.92,4196345562
2024-01-25,15555.62,15597.25,15430.68,15510.5,4249291798
2024-01-26,15474.85,15538.84,15433.04,15455.36,3725303394
2024-01-29,15470.66,15630.58,15449.87,15628.04,4301017651
2024-01-30,15604.08,15619.23,15484.67,15509.9,4047205827
2024-01-31,15324.19,15405.55,15158.49,15164.01,5000105969
2024-02-01,15254.02,15372.13,15208.88,15361.64,4236773373
2024-02-02,15403.16,15664.21,15366.79,15628.95,3850480053
2024-02-05,15613.99,15637.88,15471.68,15597.68,4097656486
2024-02-06,15638.19,15652.75,15515.25,15609.0,4079853007
2024-02-07,15690.36,15770.68,15645.8,15756.64,3622187473
2024-02-08,15762.23,15813.27,15739.18,15793.71,4450949495
2024-02-09,15842.38,16007.29,15831.76,15990.66,4996136579
2024-02-12,15980.62,16080.07,15917.87,15942.55,4367300721
2024-02-13,15598.88,15770.42,15551.44,15655.6,4417482199
2024-02-14,15781.71,15865.51,15683.94,15859.15,4220841473
2024-02-15,15865.3,15911.22,15779.71,15906.17,5139270794
2024-02-16,15910.43,15917.41,15752.02,15775.65,4292849564
2024-02-20,15679.84,15730.47,15508.5,15630.78,4757260068
2024-02-21,15532.12,15583.68,15451.65,15580.87,4090829629
2024-02-22,15904.48,16061.82,15869.24,16041.62,4725966225
2024-02-23,16094.8,16134.22,15954.5,15996.82,4128010948
2024-02-26,16014.45,16054.9,15973.9,15976.25,4514009763
2024-02-27,16013.98,16046.1,15940.51,16035.3,4651628542
