Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-01-02,21.37,21.71,21.80,21.35,688803,1627813605.00,2.11,1.59,0.34,0.29
2024-01-03,21.70,21.79,21.83,21.63,607525,1439625327.00,0.92,0.37,0.08,0.26
2024-01-04,21.83,21.83,22.01,21.64,613423,1458263732.00,1.70,0.18,0.04,0.26
2024-01-05,21.81,21.77,21.98,21.69,705631,1680566823.00,1.33,-0.27,-0.06,0.30
2024-01-08,21.77,21.63,21.85,21.56,654394,1546139934.00,1.33,-0.64,-0.14,0.28
2024-01-09,21.63,21.57,21.71,21.33,801505,1884034535.00,1.76,-0.28,-0.06,0.34
2024-01-10,21.54,21.37,21.67,21.24,672430,1569818929.00,1.99,-0.93,-0.20,0.29
2024-01-11,21.41,21.21,21.42,21.14,609199,1415166913.00,1.31,-0.75,-0.16,0.26
2024-01-12,21.12,21.56,21.62,21.12,620056,1452655348.00,2.36,1.65,0.35,0.26
2024-01-15,21.51,21.53,21.68,21.43,409877,964175881.00,1.16,-0.14,-0.03,0.17
2024-01-16,21.45,21.58,21.60,21.33,578343,1355366874.00,1.25,0.23,0.05,0.25
2024-01-17,21.58,21.35,21.63,21.35,665091,1559265044.00,1.30,-1.07,-0.23,0.28
2024-01-18,21.33,21.35,21.45,20.91,1227389,2841916740.00,2.53,0.00,0.00,0.52
2024-01-19,21.33,21.53,21.55,21.15,944947,2208441097.00,1.87,0.84,0.18,0.40
2024-01-22,21.19,21.26,21.51,21.10,1107906,2581327056.00,1.90,-1.25,-0.27,0.47
2024-01-23,21.19,21.28,21.38,20.96,853064,1971733022.00,1.98,0.09,0.02,0.36
2024-01-24,21.34,21.88,21.90,21.31,1086490,2566320795.00,2.77,2.82,0.60,0.46
2024-01-25,21.89,21.97,22.13,21.74,828913,1978742267.00,1.78,0.41,0.09,0.35
2024-01-26,21.88,22.16,22.22,21.84,713703,1712379231.00,1.73,0.86,0.19,0.30
2024-01-29,22.12,22.30,22.53,22.09,694170,1691010353.00,1.99,0.63,0.14,0.29
2024-01-30,22.29,22.13,22.39,22.04,797844,1927743954.00,1.57,-0.76,-0.17,0.34
2024-01-31,22.11,22.43,22.49,22.06,885502,2155156152.00,1.94,1.36,0.30,0.38
2024-02-01,22.33,22.18,22.47,22.18,660741,1601356833.00,1.29,-1.11,-0.25,0.28
2024-02-02,22.25,22.31,22.55,22.18,1018175,2482060135.00,1.67,0.59,0.13,0.43
2024-02-05,22.38,22.79,22.91,22.32,1149371,2832953858.00,2.64,2.15,0.48,0.49
2024-02-06,22.73,22.75,23.29,22.61,1266030,3150676353.00,2.98,-0.18,-0.04,0.54
2024-02-07,22.82,22.73,22.83,22.27,1356422,3325417287.00,2.46,-0.09,-0.02,0.58
2024-02-08,22.64,22.67,22.77,22.43,874972,2150797174.00,1.50,-0.26,-0.06,0.37
2024-02-19,22.61,23.23,23.32,22.53,872457,2183694504.00,3.48,2.47,0.56,0.37
2024-02-20,23.21,23.57,23.75,23.14,686084,1750801469.00,2.63,1.46,0.34,0.29
2024-02-21,23.55,23.42,23.73,23.42,798776,2040015337.00,1.32,-0.64,-0.15,0.33
2024-02-22,23.53,23.58,23.71,23.39,666892,1701564035.00,1.37,0.68,0.16,0.28
2024-02-23,23.53,23.72,23.77,23.35,610306,1558028569.00,1.78,0.59,0.14,0.25
2024-02-26,23.52,22.98,23.57,22.96,805885,2031771860.00,2.57,-3.12,-0.74,0.34
2024-02-27,22.94,22.96,23.07,22.85,546551,1361112175.00,0.96,-0.09,-0.02,0.23
2024-02-28,22.85,23.33,23.47,22.62,1202233,3011572334.00,3.70,1.61,0.37,0.50
2024-02-29,23.23,23.08,23.35,23.03,762287,1914111616.00,1.37,-1.07,-0.25,0.32
2024-03-01,23.08,23.03,23.18,22.93,571129,1427971157.00,1.08,-0.22,-0.05,0.24
2024-03-04,23.00,23.48,23.50,22.90,863299,2180343415.00,2.61,1.95,0.45,0.36
2024-03-05,23.38,23.97,24.03,23.36,988443,2550840673.00,2.85,2.09,0.49,0.41
2024-03-06,23.93,23.89,24.33,23.84,877754,2284641773.00,2.04,-0.33,-0.08,0.37
2024-03-07,23.88,23.93,24.15,23.83,766939,1987481632.00,1.34,0.17,0.04,0.32
2024-03-08,23.95,23.86,24.12,23.79,614489,1589578909.00,1.38,-0.29,-0.07,0.26
2024-03-11,23.80,23.79,24.02,23.60,768872,1980534434.00,1.76,-0.29,-0.07,0.32
2024-03-12,23.73,22.86,23.78,22.79,1590727,3993859961.00,4.16,-3.91,-0.93,0.66
2024-03-13,22.86,22.92,22.96,22.54,1294034,3201049100.00,1.84,0.26,0.06,0.54
2024-03-14,22.79,22.72,22.91,22.62,999132,2471465580.00,1.27,-0.87,-0.20,0.42
2024-03-15,22.72,22.74,22.96,22.69,739470,1831479869.00,1.19,0.09,0.02,0.31
2024-03-18,22.72,22.70,22.90,22.64,800083,1976509115.00,1.14,-0.18,-0.04,0.33
2024-03-19,22.70,22.75,23.01,22.63,791305,1963356129.00,1.67,0.22,0.05,0.33
