Date,Open,Close,High,Low,Volume,Amount,Amplitude,PctChg,Change,Turnover
2024-01-02,38.88,38.60,39.57,38.58,246385,976267661.00,2.54,-0.97,-0.38,1.69
2024-01-03,38.59,37.91,38.85,37.39,264739,1018776550.00,3.78,-1.79,-0.69,1.82
2024-01-04,37.69,38.43,38.45,37.39,226438,870693521.00,2.80,1.37,0.52,1.56
2024-01-05,38.17,36.72,38.24,36.49,342918,1293427515.00,4.55,-4.45,-1.71,2.36
2024-01-08,36.49,35.29,36.49,35.29,254990,924995228.00,3.27,-3.89,-1.43,1.75
2024-01-09,35.49,34.88,35.96,34.29,266248,949671657.00,4.73,-1.16,-0.41,1.83
2024-01-10,34.78,33.79,34.79,33.76,215305,746772910.00,2.95,-3.13,-1.09,1.48
2024-01-11,33.76,34.83,34.92,33.75,269921,942704610.00,3.46,3.08,1.04,1.86
2024-01-12,34.51,33.77,34.70,33.75,222824,772497734.00,2.73,-3.04,-1.06,1.53
2024-01-15,33.46,32.11,33.60,32.02,500976,1653039940.00,4.68,-4.92,-1.66,3.44
2024-01-16,31.99,31.62,32.23,31.12,435476,1396600512.00,3.46,-1.53,-0.49,2.99
2024-01-17,31.59,31.32,32.17,31.29,281490,910508426.00,2.78,-0.95,-0.30,1.94
2024-01-18,30.89,32.38,32.40,30.67,458735,1470838844.00,5.52,3.38,1.06,3.15
2024-01-19,32.17,32.00,32.69,31.99,307947,1011203522.00,2.16,-1.17,-0.38,2.12
2024-01-22,32.40,31.49,32.79,31.05,350340,1142252753.00,5.44,-1.59,-0.51,2.41
2024-01-23,31.19,32.89,33.17,31.19,475287,1567249260.00,6.29,4.45,1.40,3.27
2024-01-24,32.93,33.13,33.22,31.85,398674,1321196404.00,4.17,0.73,0.24,2.74
2024-01-25,33.10,34.48,34.68,32.70,537115,1853955592.00,5.98,4.07,1.35,3.69
2024-01-26,34.37,33.48,34.46,33.37,369727,1274172965.00,3.16,-2.90,-1.00,2.54
2024-01-29,33.63,33.10,34.12,32.59,343518,1164804965.00,4.57,-1.14,-0.38,2.36
2024-01-30,32.69,32.35,33.58,32.17,274132,915667016.00,4.26,-2.27,-0.75,1.88
2024-01-31,32.15,30.84,32.33,30.80,350634,1120882619.00,4.73,-4.67,-1.51,2.41
2024-02-01,30.49,31.47,32.39,29.83,363368,1159733910.00,8.30,2.04,0.63,2.50
